"citizenship_country"
"AFGHANISTAN"
"ALBANIA"
"ALGERIA"
"ANGOLA"
"ANGUILLA"
"ANTIGUA-BARBUDA"
"ARGENTINA"
"ARMENIA"
"AUSTRALIA"
"AUSTRIA"
"AZERBAIJAN"
"BAHAMAS"
"BAHRAIN"
"BANGLADESH"
"BARBADOS"
"BELARUS"
"BELGIUM"
"BELIZE"
"BENIN"
"BHUTAN"
"BOLIVIA"
"BOSNIA-HERZEGOVINA"
"BOTSWANA"
"BRAZIL"
"BRITISH VIRGIN ISLANDS"
"BRUNEI"
"BULGARIA"
"BURKINA FASO"
"BURMA"
"BURUNDI"
"CAMBODIA"
"CAMEROON"
"CANADA"
"CAPE VERDE"
"CAYMAN ISLANDS"
"CENTRAL AFRICAN REPUBLIC"
"CHAD"
"CHILE"
"CHINA, PEOPLES REPUBLIC OF"
"COLOMBIA"
"CONGO"
"COSTA RICA"
"CROATIA"
"CUBA"
"CURACAO"
"CYPRUS"
"CZECHOSLOVAKIA"
"CZECH REPUBLIC"
"DEM REP OF THE CONGO"
"DENMARK"
"DJIBOUTI"
"DOMINICA"
"DOMINICAN REPUBLIC"
"ECUADOR"
"EGYPT"
"EL SALVADOR"
"EQUATORIAL GUINEA"
"ERITREA"
"ESTONIA"
"ESWATINI"
"ETHIOPIA"
"FIJI"
"FINLAND"
"FRANCE"
"FRENCH GUIANA"
"FRENCH POLYNESIA"
"GABON"
"GAMBIA"
"GEORGIA"
"GERMANY"
"GHANA"
"GREECE"
"GRENADA"
"GUADELOUPE"
"GUATEMALA"
"GUINEA"
"GUINEA-BISSAU"
"GUYANA"
"HAITI"
"HONDURAS"
"HONG KONG"
"HUNGARY"
"ICELAND"
"INDIA"
"INDONESIA"
"IRAN"
"IRAQ"
"IRELAND"
"ISRAEL"
"ITALY"
"IVORY COAST"
"JAMAICA"
"JAPAN"
"JORDAN"
"KAZAKHSTAN"
"KENYA"
"KOREA"
"KOSOVO"
"KUWAIT"
"KYRGYZSTAN"
"LAOS"
"LATVIA"
"LEBANON"
"LIBERIA"
"LIBYA"
"LITHUANIA"
"MALAWI"
"MALAYSIA"
"MALI"
"MALTA"
"MARSHALL ISLANDS"
"MAURITANIA"
"MAURITIUS"
"MEXICO"
"MICRONESIA, FEDERATED STATES OF"
"MOLDOVA"
"MONGOLIA"
"MONTENEGRO"
"MONTSERRAT"
"MOROCCO"
"MOZAMBIQUE"
"NAMIBIA"
"NEPAL"
"NETHERLANDS"
"NETHERLANDS ANTILLES"
"NEW ZEALAND"
"NICARAGUA"
"NIGER"
"NIGERIA"
"NORTH MACEDONIA"
"NORWAY"
"OMAN"
"PAKISTAN"
"PALAU"
"PANAMA"
"PAPUA NEW GUINEA"
"PARAGUAY"
"PERU"
"PHILIPPINES"
"POLAND"
"PORTUGAL"
"ROMANIA"
"RUSSIA"
"RWANDA"
"SAMOA"
"SAO TOME AND PRINCIPE"
"SAUDI ARABIA"
"SENEGAL"
"SERBIA"
"SERBIA AND MONTENEGRO"
"SIERRA LEONE"
"SINT MAARTEN(DUTCH)"
"SLOVAKIA"
"SLOVENIA"
"SOMALIA"
"SOUTH AFRICA"
"SOUTH KOREA"
"SOUTH SUDAN"
"SPAIN"
"SRI LANKA"
"ST. KITTS-NEVIS"
"ST. LUCIA"
"ST. VINCENT-GRENADINES"
"SUDAN"
"SURINAME"
"SWEDEN"
"SWITZERLAND"
"SYRIA"
"TAIWAN"
"TAJIKISTAN"
"TANZANIA"
"THAILAND"
"TOGO"
"TONGA"
"TRINIDAD AND TOBAGO"
"TUNISIA"
"TURKIYE"
"TURKMENISTAN"
"TURKS AND CAICOS ISLANDS"
"UGANDA"
"UKRAINE"
"UNITED ARAB EMIRATES"
"UNITED KINGDOM"
"URUGUAY"
"USSR"
"UZBEKISTAN"
"VENEZUELA"
"VIETNAM"
"YEMEN"
"YUGOSLAVIA"
"ZAMBIA"
"ZIMBABWE"
